acceptor	cid	enzyme	rate	reaction	source
2-HADNT	5484169	UGT73B4	0.05935637267999998	1	sebastian
4-HADNT	5375469	UGT73B4	0.06205438961999996	1	sebastian
2-HADNT	5484169	UGT73C1	0.045282911988	1	sebastian
4-HADNT	5375469	UGT73C1	0.11762512504199997	1	sebastian
2-hydroxynaringenin	21932272	OsCGT	0.055312969749300105	1	sebastian
2-hydroxynaringenin	21932272	OsCGT	0.055312969749300105	1	sebastian
2-hydroxyeriodictyol	90657995	OsCGT	0.023034713050200047	1	sebastian
2-hydroxyeriodictyol	90657995	OsCGT	0.023034713050200047	1	sebastian
phloretin	4788	OsCGT	0.029015829528900056	1	sebastian
2,5,7-trihydroxyflavanone	21611827	OsCGT	0.01888253301540004	1	sebastian
2',4',6'-trihydroxydihydrochalcone	68146761	OsCGT	0.017300750145000033	1	sebastian
2,4,6-trihydroxybenzophenone	77093	OsCGT	0.002372674305600005	1	sebastian
2-hydroxynaringenin	21932272	ZmUGT/UGT708A6		0	sebastian
2-hydroxynaringenin	21932272	ZmUGT/UGT708A6		0	sebastian
2-hydroxynaringenin	21932272	FeCGTa/UGT708C1	1.798353056640002	0	sebastian
2-hydroxynaringenin	21932272	FeCGTa/UGT708C1	1.798353056640002	0	sebastian
2-hydroxyeriodictyol	90657995	FeCGTa/UGT708C1	1.4155103891200016	0	sebastian
2-hydroxyeriodictyol	90657995	FeCGTa/UGT708C1	1.4155103891200016	0	sebastian
2-hydroxypinocembrin	42607887	FeCGTa/UGT708C1	1.7227920038400018	0	sebastian
phloretin	4788	FeCGTa/UGT708C1	0.2619449830400003	0	sebastian
2-phenyl-2',4',6'-trihydroxyactophenone	689111	FeCGTa/UGT708C1	0.6397502470400006	0	sebastian
2-phenyl-2',4',6'-trihydroxyactophenone	689111	FeCGTa/UGT708C1	0.6397502470400006	0	sebastian
2',4',6'-trihydroxyacetophenone	68073	FeCGTa/UGT708C1	0.5087777555200005	0	sebastian
2',4',6'-trihydroxyacetophenone	68073	FeCGTa/UGT708C1	0.5087777555200005	0	sebastian
2,4,6-trihydroxybenzaldehyde	68099	FeCGTa/UGT708C1	0.11082287744000012	0	sebastian
2-hydroxypinocembrin	42607887	FeCGTa/UGT708C1	1.7882782496000018	0	sebastian
2-hydroxypinocembrin	42607887	FeCGTa/UGT708C1	0.09067326336000008	0	sebastian
2-hydroxynaringenin	21932272	FeCGTb/UGT708C2	1.7399058837000014	0	sebastian
2-hydroxynaringenin	21932272	FeCGTb/UGT708C2	1.7399058837000014	0	sebastian
2-hydroxyeriodictyol	90657995	FeCGTb/UGT708C2	1.205326104940001	0	sebastian
2-hydroxyeriodictyol	90657995	FeCGTb/UGT708C2	1.205326104940001	0	sebastian
2-hydroxypinocembrin	42607887	FeCGTb/UGT708C2	2.7788062084600025	0	sebastian
phloretin	4788	FeCGTb/UGT708C2	0.4236292586400004	0	sebastian
2-phenyl-2',4',6'-trihydroxyactophenone	689111	FeCGTb/UGT708C2	2.269442457000002	0	sebastian
2-phenyl-2',4',6'-trihydroxyactophenone	689111	FeCGTb/UGT708C2	2.269442457000002	0	sebastian
2',4',6'-trihydroxyacetophenone	68073	FeCGTb/UGT708C2	0.6304006825000006	0	sebastian
2',4',6'-trihydroxyacetophenone	68073	FeCGTb/UGT708C2	0.6304006825000006	0	sebastian
2,4,6-trihydroxybenzaldehyde	68099	FeCGTb/UGT708C2	0.1260801365000001	0	sebastian
2-hydroxypinocembrin	42607887	FeCGTb/UGT708C2	1.2910605977600011	0	sebastian
2-hydroxypinocembrin	42607887	FeCGTb/UGT708C2	0.03530243822000003	0	sebastian
2-hydroxynaringenin	21932272	GmCGT/UGT708D1		0	sebastian
2-hydroxynaringenin	21932272	GmCGT/UGT708D1		0	sebastian
apigenin	5280443	GtUF6CGT1	0.006191889837770008	0	sebastian
luteolin	5280445	GtUF6CGT1	0.013314971405680016	0	sebastian
maclurin	68213	MiCGT		1	sebastian
norathyriol	5281656	MiCGT		1	sebastian
phloretin	4788	MiCGTb		1	sebastian
2-hydroxynaringenin	21932272	FcCGT/UGT708G1	3.2720980412800014	1	sebastian
2-hydroxynaringenin	21932272	FcCGT/UGT708G1	3.2720980412800014	1	sebastian
2-hydroxypinocembrin	42607887	FcCGT/UGT708G1	3.4888616339200014	1	sebastian
phloretin	4788	FcCGT/UGT708G1	1.7650749686400011	1	sebastian
2-phenyl-2',4',6'-trihydroxyactophenone	689111	FcCGT/UGT708G1	1.956033371680001	1	sebastian
2-phenyl-2',4',6'-trihydroxyactophenone	689111	FcCGT/UGT708G1	1.956033371680001	1	sebastian
maclurin	68213	FcCGT/UGT708G1	0.04128830336000002	1	sebastian
2',4',6'-trihydroxyacetophenone	68073	FcCGT/UGT708G1	0.2890181235200001	1	sebastian
2',4',6'-trihydroxyacetophenone	68073	FcCGT/UGT708G1	0.2890181235200001	1	sebastian
2,4,6-trihydroxybenzaldehyde	68099	FcCGT/UGT708G1	0.09805972048000004	1	sebastian
6-Cglucosyl-2-hydroxynaringenin	129320321	FcCGT/UGT708G1	1.2592932524800005	1	sebastian
nothofagin (3'-C-glucosyl-phloretin	21722188	FcCGT/UGT708G1	3.0759786003200014	1	sebastian
phloridzin	6072	FcCGT/UGT708G1	0.0031998435104000013	1	sebastian
nothofagin	21722188	FcCGT/UGT708G1		1	sebastian
2-hydroxynaringenin	21932272	FcCGT/UGT708G1	2.095381395520001	1	sebastian
2-hydroxynaringenin	21932272	FcCGT/UGT708G1	2.095381395520001	1	sebastian
2-hydroxynaringenin	21932272	FcCGT/UGT708G1	0.5522310574400002	1	sebastian
2-hydroxynaringenin	21932272	FcCGT/UGT708G1	0.5522310574400002	1	sebastian
2-hydroxynaringenin	21932272	FcCGT/UGT708G1	0.04851375644800002	1	sebastian
2-hydroxynaringenin	21932272	FcCGT/UGT708G1	0.04851375644800002	1	sebastian
2-hydroxynaringenin	21932272	CuCGT/UGT708G2	1.0944169513200004	1	sebastian
2-hydroxynaringenin	21932272	CuCGT/UGT708G2	1.0944169513200004	1	sebastian
2-hydroxypinocembrin	42607887	CuCGT/UGT708G2	1.3422094686000003	1	sebastian
phloretin	4788	CuCGT/UGT708G2	0.3407147112600001	1	sebastian
2-phenyl-2',4',6'-trihydroxyactophenone	689111	CuCGT/UGT708G2	0.9756830367900002	1	sebastian
2-phenyl-2',4',6'-trihydroxyactophenone	689111	CuCGT/UGT708G2	0.9756830367900002	1	sebastian
maclurin	68213	CuCGT/UGT708G2	0.06711047343000003	1	sebastian
2',4',6'-trihydroxyacetophenone	68073	CuCGT/UGT708G2	0.14970797919000006	1	sebastian
2',4',6'-trihydroxyacetophenone	68073	CuCGT/UGT708G2	0.14970797919000006	1	sebastian
2,4,6-trihydroxybenzaldehyde	68099	CuCGT/UGT708G2	0.04646109699000002	1	sebastian
6-C-glucosyl-2-hydroxynaringenin	129320321	CuCGT/UGT708G2	0.6401306696400002	1	sebastian
nothofagin (3'-C-glucosyl-phloretin	21722188	CuCGT/UGT708G2	1.1460403924200004	1	sebastian
phloridzin	6072	CuCGT/UGT708G2	0.0010840922631000006	1	sebastian
2-hydroxynaringenin	21932272	CuCGT/UGT708G2	0.7898386488300003	1	sebastian
2-hydroxynaringenin	21932272	CuCGT/UGT708G2	0.7898386488300003	1	sebastian
2-hydroxynaringenin	21932272	CuCGT/UGT708G2	0.2942536142700001	1	sebastian
2-hydroxynaringenin	21932272	CuCGT/UGT708G2	0.2942536142700001	1	sebastian
2-hydroxynaringenin	21932272	CuCGT/UGT708G2	0.012389625864000005	1	sebastian
2-hydroxynaringenin	21932272	CuCGT/UGT708G2	0.012389625864000005	1	sebastian
daidzein	5281708	PlUGT43		0	sebastian
genistein	5280961	PlUGT43		0	sebastian
apigenin	5280443	TcCGT1		1	sebastian
luteolin	5280445	TcCGT1		1	sebastian
apigenin	5280443	TcCGT1		1	sebastian
luteolin	5280445	TcCGT1		1	sebastian
apigenin	5280443	WjGT1/UGT84A57	0.07534270154100016	0	sebastian
luteolin	5280445	WjGT1/UGT84A57	0.06305275731800013	0	sebastian
phloretin	4788	WjGT1/UGT84A57	0.02778596085200006	0	sebastian
kaempferol	5280863	WjGT1/UGT84A57	0.017633398233000037	0	sebastian
quercetin	5280343	WjGT1/UGT84A57	0.026717270050000057	0	sebastian
naringenin	932	WjGT1/UGT84A57	0.06519013892200014	0	sebastian
apigenin	5280443	WjGT1/UGT84A57	0.07534270154100016	0	sebastian
nothofagin	21722188	GgCGT/UGT708B4		1	sebastian
phloretin	4788	OsCGT2/UGT708A4		0	sebastian
2-hydroxynaringenin	21932272	OsCGT2/UGT708A4		0	sebastian
2-hydroxynaringenin	21932272	OsCGT2/UGT708A4		0	sebastian
phloretin	4788	OsCGT3/UGT708A2		0	sebastian
phloretin	4788	OsCGT6/UGT708A40		0	sebastian
phloretin	4788	TaCGT1-A/UGT708A14		0	sebastian
2-hydroxynaringenin	21932272	TaCGT1-A/UGT708A14		0	sebastian
2-hydroxynaringenin	21932272	TaCGT1-A/UGT708A14		0	sebastian
phloretin	4788	TaCGT1-B/UGT708A52		0	sebastian
phloretin	4788	TaCGT1-D/UGT708A53		0	sebastian
2-hydroxynaringenin	21932272	TaCGT1-D/UGT708A53		0	sebastian
2-hydroxynaringenin	21932272	TaCGT1-D/UGT708A53		0	sebastian
phloretin	4788	TaCGT2-A/UGT708A15		0	sebastian
phloretin	4788	TaCGT2-B/UGT708A54		0	sebastian
phloretin	4788	SbCGT1/UGT708A36		0	sebastian
2-hydroxynaringenin	21932272	SbCGT1/UGT708A36		0	sebastian
2-hydroxynaringenin	21932272	SbCGT1/UGT708A36		0	sebastian
phloretin	4788	SbCGT2/UGT708A35		0	sebastian
phloretin	4788	SbCGT3/UGT708A34		0	sebastian
phloretin	4788	ZmCGT2/UGT708A5		0	sebastian
phloretin	4788	ZmCGT3/UGT708A11		0	sebastian
phloretin	4788	ZmCGT4/UGT708A41		0	sebastian
phloretin	4788	ZmCGT5/UGT708A42		0	sebastian
phloretin	4788	SiCGT1/UGT708A31		0	sebastian
2-hydroxynaringenin	21932272	SiCGT1/UGT708A31		0	sebastian
2-hydroxynaringenin	21932272	SiCGT1/UGT708A31		0	sebastian
phloretin	4788	SiCGT2/UGT708A32		0	sebastian
phloretin	4788	SiCGT3/UGT708A33		0	sebastian
phloretin	4788	BdCGT1/UGT708A7		0	sebastian
2-hydroxynaringenin	21932272	BdCGT1/UGT708A7		0	sebastian
2-hydroxynaringenin	21932272	BdCGT1/UGT708A7		0	sebastian
phloretin	4788	BdCGT2/UGT708A8		0	sebastian
phloretin	4788	PhCGT1/UGT708A43		0	sebastian
2-hydroxynaringenin	21932272	PhCGT1/UGT708A43		0	sebastian
2-hydroxynaringenin	21932272	PhCGT1/UGT708A43		0	sebastian
phloretin	4788	PhCGT2/UGT708A46		0	sebastian
phloretin	4788	PgCGT1/UGT708A44		0	sebastian
2-hydroxynaringenin	21932272	PgCGT1/UGT708A44		0	sebastian
2-hydroxynaringenin	21932272	PgCGT1/UGT708A44		0	sebastian
phloretin	4788	PpCGT1/UGT708A45		0	sebastian
enterobactin	34231	IroB		1	sebastian
MGE	5327038	IroB		1	sebastian
salmochelin S4	101763507	IroB		1	sebastian
enterobactin	34231	IroB		1	sebastian
UWM6	53297394	UrdGT2		0	sebastian
flavokermesic acid	9883304	DcUGT2		0	sebastian
kermesic acid	11727234	DcUGT2		0	sebastian
