cid	enzyme	Yield
5320954	At_78D2	3
5280961	At_78D2	10
5280443	At_78D2	48
5280445	At_78D2	12
5281647	At_78D2	0
5280441	At_78D2	0
70775	At_78D2	1
83651	At_78D2	0
780	At_78D2	0
5281343	At_78D2	8
54679630	At_78D2	12
12820	At_78D2	3
5319502	At_78D2	24
5354284	At_78D2	71
689075	At_78D2	3
238398	At_78D2	3
155240	At_78D2	0
4947	At_78D2	38
220295	At_78D2	4
91469	At_78D2	5
6255462	At_78D2	25
45382232	At_78D2	2
5413034	At_78D2	27
5398649	At_78D2	26
5318650	At_78D2	5
5284649	At_78D2	36
5281222	At_78D2	3
5280448	At_78D2	15
5320315	At_78D2	43
5281787	At_78D2	17
73571	At_78D2	0
440735	At_78D2	3
122850	At_78D2	8
5281628	At_78D2	16
5281811	At_78D2	5
6293081	At_78D2	5
4534	At_78D2	3
13846689	At_78D2	1
176096	At_78D2	2
5317284	At_78D2	27
5320053	At_78D2	53
5321775	At_78D2	17
155011	At_78D2	21
5379096	At_78D2	33
5280633	At_78D2	0
5464170	At_78D2	14
5281718	At_78D2	0
5320954	QCD86231.1	1
5280961	QCD86231.1	17
5280443	QCD86231.1	88
5280445	QCD86231.1	58
5281647	QCD86231.1	0
5280441	QCD86231.1	0
70775	QCD86231.1	0
83651	QCD86231.1	0
780	QCD86231.1	0
5281343	QCD86231.1	0
54679630	QCD86231.1	0
12820	QCD86231.1	0
5319502	QCD86231.1	0
5354284	QCD86231.1	0
689075	QCD86231.1	30
238398	QCD86231.1	0
155240	QCD86231.1	0
4947	QCD86231.1	1
220295	QCD86231.1	2
91469	QCD86231.1	1
6255462	QCD86231.1	1
45382232	QCD86231.1	3
5413034	QCD86231.1	2
5398649	QCD86231.1	2
5318650	QCD86231.1	3
5284649	QCD86231.1	79
5281222	QCD86231.1	80
5280448	QCD86231.1	0
5320315	QCD86231.1	2
5281787	QCD86231.1	34
73571	QCD86231.1	1
440735	QCD86231.1	0
122850	QCD86231.1	1
5281628	QCD86231.1	3
5281811	QCD86231.1	2
6293081	QCD86231.1	9
4534	QCD86231.1	7
13846689	QCD86231.1	0
176096	QCD86231.1	4
5317284	QCD86231.1	6
5320053	QCD86231.1	11
5321775	QCD86231.1	2
155011	QCD86231.1	1
5379096	QCD86231.1	4
5280633	QCD86231.1	0
5464170	QCD86231.1	0
5281718	QCD86231.1	5
5320954	BAG80544.1	7
5280961	BAG80544.1	36
5280443	BAG80544.1	94
5280445	BAG80544.1	62
5281647	BAG80544.1	0
5280441	BAG80544.1	0
70775	BAG80544.1	5
83651	BAG80544.1	0
780	BAG80544.1	0
5281343	BAG80544.1	47
54679630	BAG80544.1	0
12820	BAG80544.1	4
5319502	BAG80544.1	0
5354284	BAG80544.1	0
689075	BAG80544.1	31
238398	BAG80544.1	17
155240	BAG80544.1	2
4947	BAG80544.1	7
220295	BAG80544.1	19
91469	BAG80544.1	7
6255462	BAG80544.1	11
45382232	BAG80544.1	2
5413034	BAG80544.1	37
5398649	BAG80544.1	4
5318650	BAG80544.1	3
5284649	BAG80544.1	67
5281222	BAG80544.1	86
5280448	BAG80544.1	32
5320315	BAG80544.1	56
5281787	BAG80544.1	51
73571	BAG80544.1	8
440735	BAG80544.1	68
122850	BAG80544.1	38
5281628	BAG80544.1	58
5281811	BAG80544.1	19
6293081	BAG80544.1	82
4534	BAG80544.1	22
13846689	BAG80544.1	0
176096	BAG80544.1	2
5317284	BAG80544.1	64
5320053	BAG80544.1	86
5321775	BAG80544.1	45
155011	BAG80544.1	62
5379096	BAG80544.1	60
5280633	BAG80544.1	0
5464170	BAG80544.1	25
5281718	BAG80544.1	0
5320954	ALO19893.1	2
5280961	ALO19893.1	1
5280443	ALO19893.1	25
5280445	ALO19893.1	0
5281647	ALO19893.1	0
5280441	ALO19893.1	0
70775	ALO19893.1	0
83651	ALO19893.1	0
780	ALO19893.1	0
5281343	ALO19893.1	0
54679630	ALO19893.1	0
12820	ALO19893.1	0
5319502	ALO19893.1	0
5354284	ALO19893.1	0
689075	ALO19893.1	0
238398	ALO19893.1	2
155240	ALO19893.1	0
4947	ALO19893.1	2
220295	ALO19893.1	0
91469	ALO19893.1	0
6255462	ALO19893.1	0
45382232	ALO19893.1	4
5413034	ALO19893.1	0
5398649	ALO19893.1	0
5318650	ALO19893.1	0
5284649	ALO19893.1	0
5281222	ALO19893.1	0
5280448	ALO19893.1	0
5320315	ALO19893.1	6
5281787	ALO19893.1	0
73571	ALO19893.1	0
440735	ALO19893.1	0
122850	ALO19893.1	1
5281628	ALO19893.1	0
5281811	ALO19893.1	0
6293081	ALO19893.1	0
4534	ALO19893.1	0
13846689	ALO19893.1	0
176096	ALO19893.1	0
5317284	ALO19893.1	0
5320053	ALO19893.1	0
5321775	ALO19893.1	0
155011	ALO19893.1	0
5379096	ALO19893.1	0
5280633	ALO19893.1	0
5464170	ALO19893.1	0
5281718	ALO19893.1	0
5320954	AQQ16706.1	22
5280961	AQQ16706.1	2
5280443	AQQ16706.1	16
5280445	AQQ16706.1	15
5281647	AQQ16706.1	0
5280441	AQQ16706.1	23
70775	AQQ16706.1	2
83651	AQQ16706.1	0
780	AQQ16706.1	0
5281343	AQQ16706.1	4
54679630	AQQ16706.1	0
12820	AQQ16706.1	2
5319502	AQQ16706.1	0
5354284	AQQ16706.1	32
689075	AQQ16706.1	5
238398	AQQ16706.1	2
155240	AQQ16706.1	0
4947	AQQ16706.1	3
220295	AQQ16706.1	3
91469	AQQ16706.1	0
6255462	AQQ16706.1	4
45382232	AQQ16706.1	0
5413034	AQQ16706.1	4
5398649	AQQ16706.1	48
5318650	AQQ16706.1	8
5284649	AQQ16706.1	0
5281222	AQQ16706.1	10
5280448	AQQ16706.1	2
5320315	AQQ16706.1	42
5281787	AQQ16706.1	16
73571	AQQ16706.1	2
440735	AQQ16706.1	3
122850	AQQ16706.1	1
5281628	AQQ16706.1	38
5281811	AQQ16706.1	13
6293081	AQQ16706.1	63
4534	AQQ16706.1	8
13846689	AQQ16706.1	0
176096	AQQ16706.1	13
5317284	AQQ16706.1	29
5320053	AQQ16706.1	0
5321775	AQQ16706.1	47
155011	AQQ16706.1	3
5379096	AQQ16706.1	48
5280633	AQQ16706.1	0
5464170	AQQ16706.1	10
5281718	AQQ16706.1	3
5320954	AFJ52996.1	6
5280961	AFJ52996.1	0
5280443	AFJ52996.1	0
5280445	AFJ52996.1	0
5281647	AFJ52996.1	0
5280441	AFJ52996.1	0
70775	AFJ52996.1	0
83651	AFJ52996.1	0
780	AFJ52996.1	0
5281343	AFJ52996.1	0
54679630	AFJ52996.1	0
12820	AFJ52996.1	0
5319502	AFJ52996.1	0
5354284	AFJ52996.1	0
689075	AFJ52996.1	0
238398	AFJ52996.1	0
155240	AFJ52996.1	0
4947	AFJ52996.1	3
220295	AFJ52996.1	7
91469	AFJ52996.1	0
6255462	AFJ52996.1	1
45382232	AFJ52996.1	2
5413034	AFJ52996.1	23
5398649	AFJ52996.1	7
5318650	AFJ52996.1	0
5284649	AFJ52996.1	0
5281222	AFJ52996.1	0
5280448	AFJ52996.1	0
5320315	AFJ52996.1	2
5281787	AFJ52996.1	0
73571	AFJ52996.1	0
440735	AFJ52996.1	0
122850	AFJ52996.1	1
5281628	AFJ52996.1	0
5281811	AFJ52996.1	1
6293081	AFJ52996.1	2
4534	AFJ52996.1	0
13846689	AFJ52996.1	0
176096	AFJ52996.1	0
5317284	AFJ52996.1	8
5320053	AFJ52996.1	0
5321775	AFJ52996.1	3
155011	AFJ52996.1	0
5379096	AFJ52996.1	3
5280633	AFJ52996.1	0
5464170	AFJ52996.1	0
5281718	AFJ52996.1	0
5320954	AHX56914.1	17
5280961	AHX56914.1	34
5280443	AHX56914.1	74
5280445	AHX56914.1	53
5281647	AHX56914.1	0
5280441	AHX56914.1	0
70775	AHX56914.1	0
83651	AHX56914.1	0
780	AHX56914.1	0
5281343	AHX56914.1	11
54679630	AHX56914.1	2
12820	AHX56914.1	0
5319502	AHX56914.1	2
5354284	AHX56914.1	32
689075	AHX56914.1	24
238398	AHX56914.1	2
155240	AHX56914.1	0
4947	AHX56914.1	1
220295	AHX56914.1	13
91469	AHX56914.1	30
6255462	AHX56914.1	7
45382232	AHX56914.1	2
5413034	AHX56914.1	33
5398649	AHX56914.1	9
5318650	AHX56914.1	7
5284649	AHX56914.1	40
5281222	AHX56914.1	58
5280448	AHX56914.1	43
5320315	AHX56914.1	17
5281787	AHX56914.1	16
73571	AHX56914.1	14
440735	AHX56914.1	33
122850	AHX56914.1	17
5281628	AHX56914.1	61
5281811	AHX56914.1	15
6293081	AHX56914.1	94
4534	AHX56914.1	5
13846689	AHX56914.1	0
176096	AHX56914.1	1
5317284	AHX56914.1	47
5320053	AHX56914.1	90
5321775	AHX56914.1	46
155011	AHX56914.1	23
5379096	AHX56914.1	61
5280633	AHX56914.1	0
5464170	AHX56914.1	7
5281718	AHX56914.1	15
5320954	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
5280961	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	16
5280443	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	47
5280445	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	3
5281647	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5280441	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
70775	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	24
83651	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
780	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5281343	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	7
54679630	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
12820	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	1
5319502	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5354284	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
689075	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	4
238398	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
155240	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
4947	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
220295	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
91469	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
6255462	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	3
45382232	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
5413034	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5398649	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5318650	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	1
5284649	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	3
5281222	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	8
5280448	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	3
5320315	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	46
5281787	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	14
73571	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	1
440735	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	16
122850	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	14
5281628	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	51
5281811	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	15
6293081	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	19
4534	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
13846689	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
176096	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
5317284	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	30
5320053	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	4
5321775	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	16
155011	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	53
5379096	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	53
5280633	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5464170	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	22
5281718	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
